Order,Species,MCAll,MCp,MCpf,MCc,MCg,MCh,AlloAll,SM,BMf,LT,GT,IBI,BMn,BMw,BMin,LS,LpY,ML,NoC
Diprotodontia,Tarsipes_rostratus,0,0,0,0,0,0,0,0,15.00000141,84.99999497,43.95416154,122.0000476,0.00415,4.309999998,4.305850005,2.799999998,3.000000002,NA,128
Primates,Tarsius_bancanus,0,0,0,0,0,0,0,0,279.2543841,78.54999993,125.8400001,240.2899998,23.93000002,NA,NA,1,1.498189686,8,131
Rodentia,Tatera_indica,0,0,0,0,0,0,0,0,125.5999886,30.00000313,28.18382931,47.60998011,3.000000002,NA,NA,4.780000004,3.750000002,7,357
Artiodactyla,Taurotragus_oryx,0,0,0,0,0,0,0,0,413299.995,182.5000131,271.0191632,337.0000769,32650.00003,96495.55004,63845.54992,1,1.068249015,23.6,348
Carnivora,Taxidea_taxus,0,0,0,0,0,0,0,0,6385.000006,49.00000225,76.03262769,365.0001139,93.50000003,NA,NA,4.500000002,0.986301063,26,307
Primates,Theropithecus_gelada,0,0,0,0,0,0,0,0,12436.28571,494.9500005,178.64,766.4999997,464.9199999,3736.050002,3271.13,1.010000001,0.469667319,36.00000002,505
Diprotodontia,Thylogale_billardierii,0,0,0,0,0,0,0,0,3899.999937,290.0000014,29.99162519,284.4998226,0.41,1727.450001,1727.039998,1,1,8.799999997,111
Primates,Trachypithecus_cristatus,0,0,0,0,0,0,0,0,6572.000004,362.9300002,NA,NA,NA,NA,NA,1.010000001,NA,28.30000003,57
Primates,Trachypithecus_phayrei,0,0,0,0,0,0,0,0,NA,305.8699999,180.6100002,456.2499995,NA,NA,NA,1,0.789041095,28.30000003,107
Artiodactyla,Tragelaphus_angasii,0,0,0,0,0,0,0,0,62000.0015,212.9166871,219.7859873,296.9996927,5600,NA,NA,1,1.212122467,16.00000001,198
Artiodactyla,Tragelaphus_strepsiceros,0,0,0,0,0,0,0,0,169250.0088,182.5000131,221.309471,365.0001139,15650,NA,NA,1,0.986301063,23,414
Artiodactyla,Tragulus_napu,0,0,0,0,0,0,0,0,5899.999842,91.25000565,155.9552503,153.4998658,373.0000002,NA,NA,1,1,14.00000001,42
Diprotodontia,Trichosurus_vulpecula,0,0,0,0,0,0,0,0,2399.999769,188.9999982,17.29816359,273.8747537,0.205,675.2700002,675.0650004,1,1.5,15.89999999,5403
Scandentia,Tupaia_glis,0,0,0,0,0,0,0,0,147.4999931,35.99999994,45.49880602,45.29997893,12.75000001,100,87.25000007,2.500000002,2.500000002,12.4,634
Scandentia,Tupaia_tana,0,0,0,0,0,0,0,0,NA,54.56000004,NA,NA,NA,NA,NA,2.509999997,NA,11.59999999,47
Cetacea,Tursiops_truncatus,0,0,0,0,0,0,0,0,175000.0001,544.4000006,364.9999996,747.4800001,24369.60001,NA,NA,0.980000001,0.481618237,34.99999997,8581
Rodentia,Uranomys_ruddi,0,0,0,0,0,0,0,0,29.89999998,NA,NA,NA,NA,NA,NA,4.069999998,NA,NA,22
Carnivora,Urocyon_cinereoargenteus,1,1,0,0,0,0,0,1,3299.999697,84.0000027,59.97910763,365.0001139,103.7499999,NA,NA,2.500000002,0.986301063,16.20000002,480
Carnivora,Urocyon_littoralis,1,1,0,0,0,0,0,0,1896,NA,53.70000004,364.9999996,100,NA,NA,2.170000001,0.986301369,NA,152
Carnivora,Ursus_americanus,0,0,0,0,0,0,0,0,96999.99994,168.0000071,213.796209,775.6253593,293.9999997,NA,NA,2.3,0.464141606,31.99999998,1595
Carnivora,Ursus_arctos,0,0,0,0,0,0,0,0,111857.1428,182.5000131,221.819642,912.5002666,499.9999996,26000,25499.99997,2.23,0.394520433,49.99999996,5990
